Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17
Tardos,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Tarhos,Békés megye,Békés megye 3. számú egyéni választókerület,Gyula,"3","3","346829.19","1552084181.41",,,,,,,,,
Tarján,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Tarjánpuszta,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96",,,,,,,,,
Tárkány,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Tarnabod,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Tarnalelesz,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Tarnaméra,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Tarnaörs,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Tarnaszentmária,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Tarnaszentmiklós,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Tarnazsadány,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Tárnok,Pest megye,Pest megye 1. számú egyéni választókerület,Érd,"1","1","63111.74","156269406.13",,,,,,,,,
Tárnokréti,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Tarpa,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tarrós,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Táska,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Tass,Bács-Kiskun megye,Bács-Kiskun megye 1. számú egyéni választókerület,Kecskemét,"1","1","213238.51","1156455001.1",,,,,,,,,
Taszár,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Tát,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Tata,Komárom-Esztergom megye,Komárom-Esztergom megye 1. számú egyéni választókerület,Tatabánya,"1","1","100023.62","222408632.16",,,,,,,,,
Tatabánya,Komárom-Esztergom megye,Komárom-Esztergom megye 1. számú egyéni választókerület,Tatabánya,"1","1","100023.62","222408632.16",,,,,,,,,
Tataháza,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Tatárszentgyörgy,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Tázlár,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Téglás,Hajdú-Bihar megye,Hajdú-Bihar megye 3. számú egyéni választókerület,Debrecen,"3","3","234223.12","904774489.06",,,,,,,,,
Tekenye,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Tékes,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Teklafalu,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Telekes,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Telekgerendás,Békés megye,Békés megye 1. számú egyéni választókerület,Békéscsaba,"1","1","172584.94","714024939.51",,,,,,,,,
Teleki,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Telki,Pest megye,Pest megye 2. számú egyéni választókerület,Budakeszi,"2","2","121726.3","363371498.49",,,,,,,,,
Telkibánya,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Tengelic,Tolna megye,Tolna megye 1. számú egyéni választókerület,Szekszárd,"1","1","183808.64","836435692.1",,,,,,,,,
Tengeri,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Tengőd,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Tenk,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Tényő,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96",,,,,,,,,
Tépe,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Terem,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Nyírbátor,"6","6","252712.99","1327233312.92",,,,,,,,,
Terény,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Tereske,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Teresztenye,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Terpes,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Tés,Veszprém megye,Veszprém megye 1. számú egyéni választókerület,Veszprém,"1","1","195803.99","767050984.35",,,,,,,,,
Tésa,Pest megye,Pest megye 4. számú egyéni választókerület,Vác,"4","4","203058.39","789686669.4",,,,,,,,,
Tésenfa,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Téseny,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Teskánd,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Tét,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Tetétlen,Hajdú-Bihar megye,Hajdú-Bihar megye 5. számú egyéni választókerület,Hajdúszoboszló,"5","5","268216.99","1790319545.19",,,,,,,,,
Tevel,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Tibolddaróc,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Tiborszállás,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Tihany,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Tikos,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Tilaj,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Timár,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tinnye,Pest megye,Pest megye 2. számú egyéni választókerület,Budakeszi,"2","2","121726.3","363371498.49",,,,,,,,,
Tiszaadony,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszaalpár,Bács-Kiskun megye,Bács-Kiskun megye 4. számú egyéni választókerület,Kiskunfélegyháza,"4","4","324422.08","1876316923.88",,,,,,,,,
Tiszabábolna,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Tiszabecs,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszabercel,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tiszabezdéd,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszabő,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszabura,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszacsécse,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszacsege,Hajdú-Bihar megye,Hajdú-Bihar megye 5. számú egyéni választókerület,Hajdúszoboszló,"5","5","268216.99","1790319545.19",,,,,,,,,
Tiszacsermely,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Tiszadada,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tiszaderzs,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszadob,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tiszadorogma,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Tiszaeszlár,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tiszaföldvár,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Tiszafüred,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszagyenda,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszagyulaháza,Hajdú-Bihar megye,Hajdú-Bihar megye 6. számú egyéni választókerület,Hajdúböszörmény,"6","6","210118.42","1320118769.78",,,,,,,,,
Tiszaigar,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszainoka,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Tiszajenő,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Szolnok,"1","1","202023.51","704327243.22",,,,,,,,,
Tiszakanyár,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Tiszakarád,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Tiszakécske,Bács-Kiskun megye,Bács-Kiskun megye 2. számú egyéni választókerület,Kecskemét,"2","2","183749.25","615605074.37",,,,,,,,,
Tiszakerecseny,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszakeszi,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Tiszakóród,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszakürt,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Tiszaladány,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Tiszalök,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tiszalúc,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Tiszamogyorós,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszanagyfalu,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tiszanána,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Tiszaörs,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszapalkonya,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Tiszapüspöki,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Tiszarád,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Tiszaroff,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszasas,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Tiszasüly,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 2. számú egyéni választókerület,Jászberény,"2","2","232654.66","1311394636.3",,,,,,,,,
Tiszaszalka,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszaszentimre,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszaszentmárton,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tiszasziget,Csongrád megye,Csongrád megye 1. számú egyéni választókerület,Szeged,"1","1","114685.88","253027073.97",,,,,,,,,
Tiszaszőlős,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tiszatardos,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Tiszatarján,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Tiszatelek,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Tiszatenyő,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Tiszaug,Bács-Kiskun megye,Bács-Kiskun megye 4. számú egyéni választókerület,Kiskunfélegyháza,"4","4","324422.08","1876316923.88",,,,,,,,,
Tiszaújváros,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Tiszavalk,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Tiszavárkony,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Szolnok,"1","1","202023.51","704327243.22",,,,,,,,,
Tiszavasvári,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Tiszavid,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tisztaberek,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tivadar,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tóalmás,Pest megye,Pest megye 9. számú egyéni választókerület,Nagykáta,"9","9","186619.94","913452399.81",,,,,,,,,
Tófalu,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Tófej,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Tófű,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Tokaj,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Tokod,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Tokodaltáró,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Tokorcs,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Tolcsva,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Told,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Tolmács,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Tolna,Tolna megye,Tolna megye 1. számú egyéni választókerület,Szekszárd,"1","1","183808.64","836435692.1",,,,,,,,,
Tolnanémedi,Tolna megye,Tolna megye 3. számú egyéni választókerület,Paks,"3","3","323996.54","1491048132.2",,,,,,,,,
Tomajmonostora,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Tomor,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Tompa,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Tompaládony,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Tordas,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Tormafölde,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Tormás,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Tormásliget,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Tornabarakony,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Tornakápolna,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Tornanádaska,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Tornaszentandrás,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Tornaszentjakab,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Tornyiszentmiklós,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Tornyosnémeti,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Tornyospálca,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Torony,Vas megye,Vas megye 1. számú egyéni választókerület,Szombathely,"1","1","94712.08","228249027.58",,,,,,,,,
Torvaj,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Tószeg,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Szolnok,"1","1","202023.51","704327243.22",,,,,,,,,
Tótkomlós,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Tótszentgyörgy,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Tótszentmárton,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Tótszerdahely,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Tótújfalu,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Tótvázsony,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Tök,Pest megye,Pest megye 2. számú egyéni választókerület,Budakeszi,"2","2","121726.3","363371498.49",,,,,,,,,
Tököl,Pest megye,Pest megye 8. számú egyéni választókerület,Szigetszentmiklós,"8","8","85376.35","203571067.05",,,,,,,,,
Töltéstava,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96",,,,,,,,,
Tömörd,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Tömörkény,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Törökbálint,Pest megye,Pest megye 1. számú egyéni választókerület,Érd,"1","1","63111.74","156269406.13",,,,,,,,,
Törökkoppány,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Törökszentmiklós,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Törtel,Pest megye,Pest megye 12. számú egyéni választókerület,Cegléd,"12","12","154034.17","1022178507.64",,,,,,,,,
Töttös,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Trizs,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Tunyogmatolcs,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Tura,Pest megye,Pest megye 9. számú egyéni választókerület,Nagykáta,"9","9","186619.94","913452399.81",,,,,,,,,
Túristvándi,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Túrkeve,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Túrony,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
